"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1617397200000,58963.03,59213.15,58450.62,58671.48,10926.52,643107770.83,"direct","",1617397200,"2021-04-02"
1617408000000,59412.1,59449.24,58932.89,58963.03,13036.46,772367298.26,"direct","",1617408000,"2021-04-02"
1617418800000,59437.37,59521.61,59162.97,59412.1,10232.66,607310475.78,"direct","",1617418800,"2021-04-02"
1617429600000,59042.57,59781.72,58810.08,59437.37,17231.96,1022522216.86,"direct","",1617429600,"2021-04-03"
1617440400000,59266.28,59710.7,58834.73,59042.57,10646.38,631561074.18,"direct","",1617440400,"2021-04-03"
1617451200000,59136.51,59455.8,59133,59266.28,9197.91,545402086.56,"direct","",1617451200,"2021-04-03"
1617462000000,58225.85,59243.73,58196.26,59136.51,23199.22,1363893804.8,"direct","",1617462000,"2021-04-03"
1617472800000,58048.83,58740.13,57800.66,58225.85,21504.26,1253312391.72,"direct","",1617472800,"2021-04-03"
1617483600000,57062.28,58254.3,56904.47,58048.83,23590.46,1357453282.61,"direct","",1617483600,"2021-04-03"
1617494400000,57369.21,57454.4,56441.03,57062.28,21130.04,1202144330.34,"direct","",1617494400,"2021-04-03"
1617505200000,57477.02,57688.14,57208.63,57369.21,10473.82,601826914.88,"direct","",1617505200,"2021-04-03"
1617516000000,57438.08,57687.11,57156.95,57477.02,13693.64,786473173.86,"direct","",1617516000,"2021-04-04"
1617526800000,57267.63,57775.78,57147.33,57438.08,12512.62,720411435.75,"direct","",1617526800,"2021-04-04"
1617537600000,58127.44,58298.6,57031.69,57267.63,14352.82,831290816.18,"direct","",1617537600,"2021-04-04"
1617548400000,58174.29,58491.61,57723.87,58127.44,14844.68,862248651.85,"direct","",1617548400,"2021-04-04"
1617559200000,58026.65,58255.52,57755.29,58174.29,8947.93,518933235.74,"direct","",1617559200,"2021-04-04"
1617570000000,58197.26,58298.01,57890.98,58026.65,8026.12,466413339.79,"direct","",1617570000,"2021-04-04"
1617580800000,57598.92,58383.3,57446.91,58197.26,11200.16,647917341.08,"direct","",1617580800,"2021-04-04"
1617591600000,56929.68,57723.95,56866.84,57598.92,11170.08,640735154.41,"direct","",1617591600,"2021-04-04"
